able ebL
containable k~ten6bL
content kantEnt
context kantEkst
continually k~tInyu6li
continue k~tInyu
control k~trol
conversation kanvRseS~
conversations kanvRseS~z
cookie kUki
cookies kUkiz
cooking kUkIN
cops kaps
cord k%d
corduroy k%d6r7
corner k%nR
correct k6rEkt
correctly k6rEktli
correspondance k%6spand~s
cotton kat~
couches kQcIz
cough kOf
could k6d
couldn't k6d~t
count kQnt
counted kQntId
counting kQntIN
counts kQnts
couple kApL
course k%s
cousin kAz~
cousins kAz~z
cover kAvR
covered kAvRd
cow kQ
cow's kQz
cows kQz
crack kr&k
cracked kr&kt
crackers kr&kRz
crane kren
crayon krean
crayons kreanz
crazy krezi
cream krim
creates kriets
creatively krietIvli
crib krIb
crocodile krak6d9l
crocodiles' krak6d9lz
crunch krUnc
crying kr9IN
cubes kyubz
cup kAp
cupfuls kApfUlz
cups kAps
curious ky)i6s
curly k3li
cut kAt
cute kyut
cutest kyutIst
cutey kyuti
dad d&d
dada d&d&
dada's d&d&z
daddy d&di
daddy's d&diz
daffodils d&f6dIlz
daisies deziz
daisy dezi
dale del
dan d&n
dan's d&nz
dance d&ns
dangerous denGR6s
dapper d&pR
darling d#lIN
date det
daughter dOtR
day de
days dez
deal dil
dear d(
decide dIs9d
decided dIs9dId
deep dip
definitely dEf6nItli
delay dIle
delicious dIlIS6s
delighted dIl9tId
delivers dIlIvRz
demonstrate dEm~stret
dentist dEntIst
dentist's dEntIsts
depending dIpEndIN
depends dIpEndz
desire dIz9R
desk dEsk
dessert dIz3t
destruction dIstrAkS~
dextrous dEkstr6s
dial d9L
dials d9Lz
diaper d9pR
diapers d9pRz
did dId
didn't dId~t
difference dIfr~s
different dIfr~t
differentiate dIf6rEnSiet
differently dIfr~tli
difficult dIfIkAlt
difficulty dIfIkAlti
dig dIg
digby dIgbi
digits dIGIt
dining d9nIN
dinner dInR
dinnertime dInRt9m
dinosaur d9n6s%
directing dIrEktIN
direction dIrEkS~
directions dIrEkS~z
dirt d3t
dirty d3ti
disappearing dIs6p(
discussed dIskAst
dish dIS
dishwasher dISwaSR
dismantle dIsm&ntL
dismay dIsme
disney dIzni
distinct dIstINkt
distinction dIstINkS~
distinguishes dIstINgwISIz
dive d9v
do du
doctor daktR
doctor's daktRz
does dAz
doesn't dAz~t
dog dOg
dog's dOgz
doggie dOgi
doggie's dOgiz
doggies dOgiz
doggy dOgi
doghouse dOghQs
dogs dOgz
doing duIN
doll dal
doll's dalz
dollars dalRz
dollhouse dalhQs
dollies daliz
dolls dalz
dolly dali
dolly's daliz
dolphin dalfIn
don't dont
donald danLd
done dAn
donut don6t
door d%
door's d%z
doors d%z
doorway d%we
double dAbL
doubling dAblIN
doubt dQt
dough do
down dQn
dozen dAz~
dragon dr&g~
dragon's dr&g~z
dragons dr&g~z
drags dr&gz
drape drep
draw drO
drawers dr%z
drawing drOIN
draws drOz
dress drEs
dressed drEst
dresser drEsR
dresses drEsIz
drink drINk
drinking drINkIN
drive dr9v
driveway dr9vwe
drop drap
dropped drapt
drove drov
drum drAm
drum's drAmz
drummond drAm6nd
duck dAk
duckie dAki
duckies dAkiz
ducklings dAklINz
ducks dAks
dumbo dAmbo
dump dAmp
dumpty dAmpti
dumpty's dAmptiz
during d)IN
each ic
ear (
ear's (z
earlier 3liR
early 3li
earphones (fonz
ears (z
easier iziR
easiest iziIst
easily izli
easy izi
eat it
eaten it~
eating itIN
eats its
educational EGUkeS6nL
edward EdwRd
egg Eg
eggs Egz
eight et
either iDR
elastic Il&stIk
eleanor El6nR
elephant El6f6nt
elephants El6f6nts
eleven IlEv~
ella El6
ellie Eli
else Els
else's ElsIz
eluded IludId
emote Imot
encourage Enk3IG
encouraged Enk3IGd
encouraging Enk3IGIN
end End
ended EndId
ends Endz
energy EnRGi
engine EnG~
enjoy EnG7
enjoyed EnG7d
enjoying EnG7IN
enjoys EnG7z
enough InAf
entered EntRd
enthusiastic EnTuzi&stIk
entice Ent9s
environment Env9r~m~t
equipment IkwIpm~t
ernie 3ni
ernie's 3niz
especially IspES6li
even iv~
evening ivnIN
event IvEnt
ever EvR
every Evri
everybody Evribadi
everybody's Evribadiz
everyone EvriwAn
everyone's EvriwAnz
everyplace Evriples
everything EvriTIN
exactly Igz&ktli
examples Igz&mpLz
except IksEpt
excited Iks9tId
exciting Iks9tIN
excuses IkskyusIz
exercise EksRs9z
exert Igz3t
expect IkspEkt
expensive IkspEnsIv
experience Iksp(i~s
explain Iksplen
explore Ikspl%
exploring Ikspl%IN
exposed Ikspozd
expression IksprES~
extent IkstEnt
extraordinarily Ikstr%d~*6li
extraordinary Ikstr%d~*i
eye 9
eyes 9z
face fes
fact f&kt
fake fek
fall fOl
falling fOlIN
familiar f6mIlyR
family f&mli
fan f&n
fancy f&nsi
far f#
farm f#m
fascinated f&s6netId
fascination f&s6neS~
fast f&st
faster f&stR
fat f&t
father faDR
fault fOlt
favorite fevrIt
favorites fevrIts
feather fEDR
fed fEd
feed fid
feeding fidIN
feeds fidz
feel fil
feeling filIN
feels filz
feet fit
fell fEl
felt fElt
ferocious f6roS6s
few fyu
fifth fIfT
fifty fIfti
figure fIgyR
figured fIgyRd
fill fIl
filled fIld
finally f9nLi
find f9nd
finding f9ndIN
fine f9n
finger fINgR
fingers fINgRz
finish fInIS
finished fInISt
fire f9R
first f3st
fish fIS
fisher fISR
fishie fISi
fishing fISIN
fit fIt
fitzpatrick's fItsp&trIks
five f9v
fix fIks
fixed fIkst
flair fl*
flairs fl*z
flap fl&p
flat fl&t
float flot
floor fl%
floors fl%z
flower flQR
flowers flQRz
fluffy flAfi
fly fl9
flying fl9IN
folded foldId
follow falo
follows faloz
food fud
fool ful
fooling fulIN
foot fUt
foot's fUts
for f%
forest f%Ist
forget fRgEt
forgot fRgat
forgotten fRgat~
fork f%k
formal f%mL
forth f%T
forty f%ti
found fQnd
four f%
frankly fr&Nkli
free fri
friday fr9de
friend frEnd
friend's frEndz
friendly frEndli
friends frEndz
frightened fr9t~d
frog frOg
frog's frOgz
froggie frOgi
from fr6m
front frAnt
frustrating frAstretIN
full fUl
fun fAn
function fANkS~z
functions fANkS~z
funny fAni
fur f3
furniture f3nIcR
furry f3i
fuzzy fAzi
gail gel
gail's gelz
game gem
games gemz
garage g6raG
garden g#d~
garden's g#d~z
gastroenteritis g&stroEnt6r9tIs
gathered g&DRd
gave gev
general GEnRL
generally GEnR6li
generous GEnR6s
gentle GEntL
get gEt
gets gEts
getting gEtIN
gifts gIfts
gigi GiGi
gigi's GiGiz
ginger's GInGRz
girl g3l
girls g3lz
give gIv
given gIv~
gives gIvz
giving gIvIN
glass gl&s
glasses gl&sIz
go go
goes goz
going goIN
golden gold~
gone gOn
gonna g6n6
good gUd
goodbye gUdb9
goodness gUdnIs
goose gus
gorgeous g%G6s
got gat
gotten gat~
grab gr&b
grabbed gr&bd
grabbing gr&bIN
grammatical gr6m&tIkL
grammatically gr6m&tIkli
grammie gr&mi
grammy gr&mi
gramps gr&mps
grandma gr&nma
grandma's gr&nmaz
grandmother's gr&nmADR
grandpa gr&mpa
grandparents gr&np*~ts
grape grep
grapes greps
grasp gr&sp
great gret
green grin
gretel grEtL
groceries grosriz
groucho grQco
group grup
groupings grupINz
grover grovR
grow gro
growing groIN
guess gEs
guide g9d
gums gAmz
gus gAs
guy g9
gym GIm
had h&d
hadn't h&d~t
hair h*
hairbrush h*brAS
half h&f
ham h&m
hammer h&mR
hand h&nd
handed h&ndId
handfuls h&ndfUlz
handicapped h&ndik&pt
handing h&ndIN
hands h&ndz
hang h&N
hanging h&NIN
hangs h&Nz
hansel h&nsL
happen h&p~
happened h&p~d
happening h&p6nIN
happens h&p~z
happily h&p6li
happy h&pi
hard h#d
harder h#dR
hardest h#dIst
hardly h#dli
harmful h#mfL
harness h#nIs
harvard h#vRd
has h&z
hasn't h&z~t
hat h&t
hate het
hated hetId
hates hets
hats h&ts
have h&v
haven't h&v~t
having h&vIN
he hi
he'd hid
he'll hil
he's hiz
head hEd
heads hEdz
hear h(
heard h3d
hears h(z
heart h#t
heavens hEv~
heavy hEvi
hello hElo
help hElp
helped hElpt
helps hElps
her h3
here h(
here's h(z
hers h3z
herself hRsElf
hey he
hi h9
hide h9d
hiding h9dIN
high h9
highchair h9c*
highchairs h9c*z
higher h9R
him hIm
himself hImsElf
his hIz
hit hIt
hokey hoki
hold hold
holding holdIN
holds holdz
hole hol
holes holz
home hom
homemade hommed
homes homz
honey hAni
hook hUk
hope hop
hoping hopIN
hopscotch hapskac
horse h%s
horses h%sIz
horsie h%si
horsie's h%siz
hot hat
hour QR
house hQs
houses hQsIz
how hQ
how's hQz
however hQEvR
hug hAg
huge hyuG
huggy hAgi
hugs hAgz
human hyum~
humpty hAmpti
hungrier hANgriR
hungry hANgri
hurley's h3liz
hurt h3t
hurting h3tIN
husband hAzb~d
husband's hAzb~dz
i 9
i'd 9d
i'll 9l
i'm 9m
i've 9v
ice 9s
ichabod Ik6bad
idea 9di6
identify 9dEnt6f9
if If
imaginary Im&G6n*i
imagination Im&G6neS~
imagine Im&GIn
imitate ImItet
imitative ImItetIv
immediately ImidiItli
important Imp%t~t
in In
inanimate In&n6mIt
inappropriate In6propriIt
incessently InsEs~tli
including InkludIN
incredible InkrEd6bL
incredibly InkrEd6bli
indian Indi~
initiated InISietId
ink iNk
inside Ins9d
insists InsIsts
instance Inst~s
instead InstEd
interaction IntR&kS~
interest IntrIst
interested Intr6stId
interesting Intr6stIN
interpret Int3prIt
into Intu
intrigued Intrigd
introduced Intr6dust
involved Invalvd
involves Invalvz
iron 9Rn
is Iz
isabel Iz6bL
isn't Iz~t
it It
it'll ItL
it's Its
its Its
jabbering G&bRIN
jack G&k
jacket G&kIt
jackets G&kIts
jackie G&ki
jake Gek
jam G&m
jammies G&miz
jar G#
jars G#z
jeans Ginz
jeff GEf
jeff's GEfs
jeffrey GEfri
jeffrey's GEfriz
jello GElo
jelly GEli
jesse GEsi
jesus Giz6s
jewelry GuLri
jill GIl
jim GIm
job Gab
joey Goi
judy Gudi
judy's Gudiz
juice Gus
jumbled GAmbLd
jump GAmp
jumped GAmpt
jumping GAmpIN
just GAst
kay ke
kay's kez
keep kip
keeps kips
kept kEpt
key ki
keys kiz
kick kIk
kid kId
kid's kIdz
kiddo kIdo
kids kIdz
kids' kIdz
killing kIlIN
kind k9nd
kinds k9ndz
kiss kIs
kissable kIs6bL
kissed kIst
kisses kIsIz
kissing kIsIN
kitchen kIc~
kite k9t
kitten kIt~
kittens kIt~z
kitties kItiz
kitty kIti
kitty's kItiz
knee ni
knees niz
knew nu
knife n9f
knock nak
knocked nakt
knot nat
know no
knowledge nalIG
known non
knows noz
kristin krIst~
label lebL
laces lesIz
lacing lesIN
lack l&k
lady ledi
lady's lediz
lake lek
lane len
language l&NgwIG
lap l&p
laps l&ps
last l&st
late let
lately letli
later letR
latest letIst
laugh l&f
laughs l&fs
lauren l%~
lauren's l%~z
law lO
lay le
learn l3n
learned l3nd
learning l3nIN
learns l3nz
leash liS
least list
leave liv
leaves livz
leaving livIN
left lEft
leg lEg
lego lEgo
legs lEgz
lemon lEm~
lena lin6
lena's lin6z
less lEs
let lEt
let's lEts
lets lEts
letter lEtR
letters lEtRz
letting lEtIN
lexington lEksINt~
lick lIk
licking lIkIN
lie l9
lies l9z
life l9f
lift lIft
lifting lIftIN
lifts lIfts
lights l9ts
like l9k
liked l9kt
likes l9ks
limit lImIt
lindsey's lIndziz
line l9n
lining l9nIN
lion l9~
lions l9~z
lips lIps
lipstick lIpstIk
liquid lIkwId
list lIst
listen lIs~
listening lIs~IN
listens lIs~z
little lItL
live lIv
liver lIvR
lives lIvz
living lIvIN
lock lak
locked lakt
lollipop lalipap
lollipops lalipaps
lonesome lonsM
long lON
look lUk
looked lUkt
looking lUkIN
looks lUks
loose lus
loren l%~
lose luz
loses luzIz
losing luzIN
lost lOst
lot lat
lots lats
loud lQd
love lAv
loved lAvd
lovely lAvli
loves lAvz
loving lAvIN
low lo
luckily lAk6li
lucky lAki
lunch lAnc
lunchtime lAnct9m
lying l9IN
macdonald m6kdanLd
machine m6Sin
made med
magazines m&g6zin
magic m&GIk
main men
maine men
make mek
makes meks
making mekIN
mama mam6
man m&n
manipulate m6nIpy6let
manniken m&nIkIn
manually m&nyu6li
many mEni
marco m#ko
marco's m#koz
marie m6ri
marie's m6riz
marigolds m*Igold
mark m#k
marks m#ks
marshmallow m#SmElo
mass m&s
match m&c
matches m&cIz
material m6t(iL
matter m&tR
matthew m&Tyu
matthew's m&Tyuz
maura m%6
maura's m%6z
may me
maybe mebi
me mi
meal mil
mealtime milt9m
mean min
means minz
meant mEnt
meat mit
mechanical m6k&nIkL
medical mEdikL
meet mit
meeting mitIN
meets mits
meme meme
memorize mEm6r9z
memory mEm6ri
mention mEnS~
mentioned mEnS~d
mess mEs
mice m9s
michael's m9kLz
mickey mIki
mickey's mIkiz
micky mIki
microphone m9kr6fon
middle mIdL
might m9t
mike m9k
mike's m9ks
milk mIlk
mimi mimi
mind m9nd
mine m9n
minute mInIt
minutes mInIts
mirror m(R
mirrors m(Rz
miserable mIzR6bL
miss mIs
missed mIst
missus mIsIz
mistake mIstek
mistress mIstrIs
mittens mIt~
mixed mIkst
moira m7r6
mom mam
mommies mamiz
mommy mami
mommy's mamiz
monkey mANki
monkey's mANkiz
monkeys mANkiz
monster manstR
month mAnT
months mAnTs
mood mud
moon mun
more m%
morning m%nIN
most most
mostly mostli
mother mADR
mother's mADRz
motor motR
mouse mQs
mousie mQsi
mouth mQT
mouths mQDz
move muv
moved muvd
movie muvi
moving muvIN
much mAc
muffin mAfIn
mug mAg
mugs mAgz
mules myulz
mum mAm
mummy mAmi
muppet mApIt
muppets mApIts
museum myuziM
mush mAS
music myuzIk
must mAst
mustn't mAs~t
mutilate myutLet
my m9
myself m9sElf
name nem
name's nemz
named nemd
names nemz
naming nemIN
nan n&n
nan's n&nz
nap n&p
napkin n&pkIn
napping n&pIN
naturally n&cr6li
nearby n(b9
neat nit
necessarily nEs6s*6li
necessary nEs6s*i
neck nEk
necklace nEklIs
need nid
needed nidId
needs nidz
negative nEg6tIv
neither niDR
nephew nEfyu
nephew's nEfyuz
nervous n3v6s
neuter nutR
never nEvR
new nu
next nEkst
nice n9s
nicer n9sR
night n9t
nightgown n9tgQn
nightgowns n9tgQnz
nightmare n9tm*
nine n9n
ninth n9nT
no no
nobody nobadi
nobody's nobadiz
noise n7z
noises n7zIz
none nAn
nonexistent nanIgzIst~t
noodle nudL
nope nop
normal n%mL
normally n%m6li
nose noz
not nat
nothing nATIN
noticed notIst
noticing notIsIN
novelty navLti
now nQ
nudist nudIst
number nAmbR
numbers nAmbRz
nurse n3s
nursery n3s6ri
nurses n3sIz
nursing n3sIN
nuts nAts
o'clock 6klak
o'clocks 6klaks
oatmeal otmil
obi obi
obi's obiz
obie obi
objects abGIks
observed 6bz3vd
observing 6bz3vIN
obvious abvi6s
obviously abvi6sli
occasionally 6keZ6nL
occurred 6k3d
ocean oS~
october aktobR
odd ad
of 6v
off Of
offers OfRz
offhand Ofh&nd
office OfIs
often Of~
ok oke
okay oke
old old
older oldR
on an
once wAns
one wAn
one's wAnz
ones wAnz
onion Any~
only onli
onto antu
open op~
opened op~d
opening op~IN
opens op~z
operation ap6reS~
opposed 6pozd
opposite ap6zIt
or %
orange %InG
order %dR
orderly %dRli
originally 6rIG6nLi
other ADR
others ADRz
otherwise ADRw9z
our #
ours #z
out Qt
outdoor Qtd%
outdoors Qtd%z
outlets QtlEts
outside Qts9d
over ovR
owl QL
owls QLz
own on
owned ond
page peG
pages peGIz
paid ped
paint pent
pajamas p6G&m6z
pan p&n
pancake p&nkek
pancakes p&nkeks
pans p&nz
pants p&nts
papa pap6
paper pepR
parade p6red
park p#k
parrot p*6t
part p#t
particular pRtIky6lR
parts p#ts
party p#ti
passes p&sIz
past p&st
paste pest
pat p&t
patient peS~t
patrick p&trIk
pats p&ts
patted p&tId
patting p&tIN
paul pOl
paul's pOlz
pay pe
paying peIN
peach pic
peanut pinAt
pear p*
peek pik
peekaboo pik6bu
peers p(z
peg pEg
pegs pEgz
pencil pEnsL
pencils pEnsLz
pens pEnz
people pipL
people's pipLz
pepe pepe
perfectly p3fIktli
perform pRf%m
perhaps pRh&ps
perpendicular p3p~dIky6lR
person p3s~
person's p3s~z
perspective pRspEktIv
pester pEstR
pet pEt
peter pitR
peter's pitRz
pets pEts
phone fon
phone's fonz
phones fonz
phrase frez
pick pIk
picked pIkt
picking pIkIN
pickles pIkLz
picks pIks
picnics pIknIks
picture pIkcR
pictures pIkcRz
piece pis
pieces pisIz
pig pIg
pigeons pIG~
piggie pIgi
piggy pIgi
pigs pIgz
pike p9k
pile p9l
piles p9lz
pin pIk
pink pINk
pins pInz
place ples
plain plen
plant pl&nt
plastic pl&stIk
plate plet
plates plets
play ple
played pled
player pleR
playgroup plegrup
playing pleIN
playpen plepEn
playroom plerum
plays plez
please pliz
pleased plizd
pleasure plEZR
plenty plEnti
plugs plAgz
pocket pakIt
pocketbook pakItbUk
point p7nt
pointed p7ntId
pointing p7ntIN
points p7nts
poke pok
pokey poki
pole pol
poles polz
pony poni
pooh pu
pool pul
poops pups
poor p)
pop pap
poppy papi
posies poziz
possible pas6bL
possibly pas6bli
pots pats
potted patId
pouring p%IN
precisely prIs9sli
prefer prIf3
prefers prIf3z
prehistoric prihIst%Ik
prepare prIp*
preschool priskul
present prEz~t
preserver prIz3vR
press prEs
pressed prEst
pressure prESR
pretend prItEnd
pretending prItEndIN
pretty prIti
price pr9s
primarily pr9m*6li
primary pr9m*i
principle prIns6pL
prior pr9R
probably prab6li
problem prablM
promote pr6mot
pronunciation pr6nAnsieS~
proper prapR
proving pruvIN
pull pUl
pulled pUld
pullover pUlovR
pumpkins pAmpkInz
pup pAp
puppet pApIt
puppets pApIts
puppies pApiz
puppy pApi
puppy's pApiz
purple p3pL
purse p3s
push pUS
pushing pUSIN
put pUt
puts pUts
putting pUtIN
puzzle pAzL
puzzles pAzLz
quack kw&k
questionable kwEsc6n6bL
quick kwIk
quickly kwIkli
quiet kw9It
quieter kw9ItR
quilt kwIlt
quilts kwIlts
quite kw9t
quiver kwIvR
quizzed kwIzd
rabbit r&bIt
rabbits r&bIts
raccoon r&kun
raggedy r&gIdi
raisin rezIn
raisins rezInz
ran r&n
rang r&N
rarely r*li
rat r&t
rather r&DR
rattle r&tL
reach ric
react ri&kt
read rid
reading ridIN
reads ridz
ready rEdi
real ril
realistic ri6lIstIk
realize ri6l9z
realized ri6l9zd
really rili
reason riz~
receiver rIsivR
recently ris~tli
recite rIs9t
recognize rEk6gn9z
recognizes rEk6gn9zIz
recognizing rEk6gn9zIN
recommended rEk6mEndId
record rEkRd
recorder rIk%dR
recordings rIk%dINz
records rEkRdz
red rEd
redid ridId
reference rEfr~s
refrigerator rIfrIG6retR
regressing rIgrEsIN
regular rEgy6lR
regularly rEgy6lRli
relate rIlet
relationship rIleS~SIp
relaxing rIl&ksIN
remember rImEmbR
remembered rImEmbRd
remembers rImEmbRz
reminded rIm9ndId
remove rImuv
removed rImuvd
repeat rIpit
repeated rIpitId
repeating rIpitIN
repetition rEpItIS~
representative rEprizEnt6tIv
respond rIspand
response rIspans
rest rEst
resting rEstIN
restrained rIstrend
result rIzAlt
rhyme r9m
rhymes r9mz
rhyming r9mIN
ribbon rIb~
richard rIcRd
ricky rIki
rid rId
ride r9d
riding r9dIN
right r9t
ring rIN
ringing rININ
rings rINz
rip rIp
rips rIps
river rIvR
rock rak
rocker rakR
rockers rakRz
rocking rakIN
roll rol
room rum
rooster rustR
rose roz
roses rozIz
rosey rozi
rosies roziz
rote rot
rough rAf
round rQnd
routine rutin
routines rutinz
rude rud
rug rAg
run rAn
running rAnIN
runs rAnz
said sEd
sale sel
sally s&li
same sem
sand s&nd
sandals s&ndLz
sandwich s&ndwIc
sat s&t
satisfies s&tIsf9z
saucer sOsR
saucers sOsRz
saw sO
say se
saying seIN
says sEz
scare sk*
scared sk*d
scarry sk*i
school skul
scissors sIzRz
scooby skubi
scott skat
scrambled skr&mbLd
scratch skr&c
scratching skr&cIN
scratchy skr&ci
scribbles skrIbLz
seat sit
sec sEk
second sEk~d
sectioned sEkS~d
sections sEkS~z
see si
seeds sidz
seek sik
seem sim
seemed simd
seems simz
seen sin
sees siz
segment sEgm~t
selection sIlEkS~
self sElf
semicircle sEmIs3kL
sense sEns
sentence sEnt~s
sentences sEnt~sIz
separate sEp6ret
separation sEp6reS~
september sEptEmbR
sequential sIkwEnSL
serious s(i6s
sesame sEs6mi
set sEt
seuss sus
seuss's susIz
seven sEv~
several sEvrL
sewn son
sews soz
sex sEks
sexual sEkSuL
shabby S&bi
shadow S&do
shake Sek
shall SL
share S*
sharing S*IN
shark S#k
sharks S#ks
shave Sev
shaving SevIN
she Si
she'd Sid
she'll Sil
she's Siz
sheep Sip
shena Sin6
sherry S*i
shirt S3t
shirts S3ts
shoe Su
shoelaces SulesIz
shoes Suz
shopping SapIN
short S%t
should SUd
shoulders SoldRz
shouldn't SUd~t
show So
showed Sod
showing SoIN
shut SAt
sick sIk
side s9d
sides s9dz
